wallet,from_address,to_address,hash,block,timestamp,tx_type,method_id,direction,asset,amount,token_amount,chain
0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0x404e927b203375779a6abd52a2049ce0adf6609b,0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0x7adf132df1a9f3038827e722918ae428db068758a9291e896477aca64c8bc25f,0xa79ea2,1708759591,erc20,0x7ff36ab5,in,BRETT,16530411.116222475,0xdac7361d8cca835e72fa8,base
0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0x404e927b203375779a6abd52a2049ce0adf6609b,0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0x6a2c2a37bd69d0a85a9ee8fba69c53cf84816a5d67b25428ed120ce9dbad2912,0xa79fda,1708760215,erc20,0x7ff36ab5,in,BRETT,15300944.225091057,0xca819d9370b661cd22760,base
0xe9e768a9ebdbbb599ee92ea820c09fc745934b09,0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,0xe9e768a9ebdbbb599ee92ea820c09fc745934b09,0x40b70270f1e788d6c5401c1c4b2ea496893f7d3f550dc48b357f64ab6d7bceee,0xa6965f,1708624289,external,0x,in,ETH,1.0,0xde0b6b3a7640000,base
0xe9e768a9ebdbbb599ee92ea820c09fc745934b09,0x404e927b203375779a6abd52a2049ce0adf6609b,0xe9e768a9ebdbbb599ee92ea820c09fc745934b09,0x7e57c61a4f2e767f010e03ad4782619a34cb542a929b8e96c4f3eacfb9162c33,0xa79dd8,1708759187,erc20,0x2646478b,in,BRETT,198534463.5364698,0xa4394ed57f55e3f679f101,base
0x973fc894e8046e686502784ad7ca40f48be93c7e,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x973fc894e8046e686502784ad7ca40f48be93c7e,0xc6eb6e3e3b0b884080ed63740c1734baf98e01b5be38e2eeaf4e572586f5a68b,0xa7243e,1708696927,external,0x,in,ETH,0.05,0xb1a2bc2ec50000,base
0x973fc894e8046e686502784ad7ca40f48be93c7e,0x404e927b203375779a6abd52a2049ce0adf6609b,0x973fc894e8046e686502784ad7ca40f48be93c7e,0xcbce1deac4f75e286a052e8b80029f393823424cabfe3b5796dd0cadd1796661,0xa79bf3,1708758217,erc20,0x7ff36ab5,in,BRETT,33647565.34152553,0x1bd5262c0f2be0823b06d1,base
0x973fc894e8046e686502784ad7ca40f48be93c7e,0x404e927b203375779a6abd52a2049ce0adf6609b,0x973fc894e8046e686502784ad7ca40f48be93c7e,0x2b826c070fa597a97d14316d5200b1ce12374f35ae2f0dbe4ec82b89d9d1d421,0xa79bf8,1708758227,erc20,0x7ff36ab5,in,BRETT,33350212.22320769,0x1b962ea0944a24fde3a31b,base
0x9fa4697fae641986e26d4a0c3961f9b96455c4a7,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x9fa4697fae641986e26d4a0c3961f9b96455c4a7,0xdc15b778a2957e9c6cdf1f8e4fb7dad2f6487e2fa2dd134787bf2c5929150c31,0xa72452,1708696967,external,0x,in,ETH,0.05,0xb1a2bc2ec50000,base
0x9fa4697fae641986e26d4a0c3961f9b96455c4a7,0x404e927b203375779a6abd52a2049ce0adf6609b,0x9fa4697fae641986e26d4a0c3961f9b96455c4a7,0x2084a303bce1cea9b20c1a54e748cad4d2c8b3b74795aa07617e44026c107a22,0xa79bf8,1708758227,erc20,0xfb3bdb41,in,BRETT,75473728.0,0x3e6e2efe3fab1a85000000,base
0x83926eb6f4c829970e7793b42da3347c784f6cba,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x83926eb6f4c829970e7793b42da3347c784f6cba,0x6cd2c98dbbb95624840914f79c5067faaae5dd3f02fbbebb21a57626e8864252,0xa73868,1708707251,external,0x,in,ETH,0.1,0x16345785d8a0000,base
